VDR       	 N. UNICRE        	  CADEIA    	 NOME                                    	                                                  
2278281	0	9113424	 CONTINENTE                              	                                                  
2278299	0	9113440	 MODELO                                  	                                                  
2278307	0	9113697	 SPORTZONE                               	                                                  
2278315	0	9113499	 VOBIS                                   	                                                  
2278323	0	9113465	 WORTEN                                  	                                                  
2282317	7261114	9113697	 SPORTZONE ALBUFEIRA                     	                                                  
2282325	7261126	9113697	 SPORTZONE ALMADA                        	                                                  
2282333	7261105	9113697	 SPORTZONE AVEIRO                        	                                                  
2282341	7261120	9113697	 SPORTZONE BARREIRO                      	                                                  
2282358	7261111	9113697	 SPORTZONE BEJA                          	                                                  
2282366	7261119	9113697	 SPORTZONE BRAGA II                      	                                                  
2282374	7261137	9113697	 SPORTZONE BRAGANCA                      	                                                  
2282382	7261108	9113697	 SPORTZONE CASCAIS                       	                                                  
2282390	7261124	9113697	 SPORTZONE CHIADO II                     	                                                  
2282408	7261102	9113697	 SPORTZONE COLOMBO                       	                                                  
2282416	7261122	9113697	 SPORTZONE FARO                          	                                                  
2282424	7261128	9113697	 SPORTZONE GAIA II                       	                                                  
2282432	7261116	9113697	 SPORTZONE GUIA                          	                                                  
2282440	7261117	9113697	 SPORTZONE LEIRIA                        	                                                  
2282457	7261115	9113697	 SPORTZONE MADEIRA SHOP                  	                                                  
2282465	7261103	9113697	 SPORTZONE MAIA                          	                                                  
2282473	7261123	9113697	 SPORTZONE MARCO                         	                                                  
2282481	2222121	9113697	 SPORTZONE MEM MARTINS                   	                                                  
2282499	7261138	9113697	 SPORTZONE MINHO CENTER                  	                                                  
2282507	7261130	9113697	 SPORTZONE MONTIJO                       	                                                  
2282515	7261106	9113697	 SPORTZONE NORTE SHOP                    	                                                  
2282523	7261118	9113697	 SPORTZONE OEIRAS                        	                                                  
2282531	1772011	9113697	 SPORTZONE PONTA DELGADA                 	                                                  
2282549	7261125	9113697	 SPORTZONE PORTIMAO                      	                                                  
2282556	7261131	9113697	 SPORTZONE RIO TINTO                     	                                                  
2282564	7261112	9113697	 SPORTZONE SEIXAL                        	                                                  
2282572	7261109	9113697	 SPORTZONE VASCO DA GAMA                 	                                                  
2282580	7261110	9113697	 SPORTZONE VIA CATARINA                  	                                                  
2282598	7261134	9113697	 SPORTZONE VIANA                         	                                                  
2282606	7261141	9113697	 SPORTZONE ARRABIDA                      	                                                  
2282614	7261142	9113697	 SPORTZONE VILA REAL                     	                                                  
2282622	7261143	9113697	 SPORTZONE EIRAS                         	                                                  
2282630	7261145	9113697	 SPORTZONE STD COIMBRA                   	                                                  
2282648	7261144	9113697	 SPORTZONE FORUM MADEIRA                 	                                                  
2282655	7261146	9113697	 SPORTZONE ANTAS                         	                                                  
2282663	7261148	9113697	 SPORTZONE FLORESTA CENTER               	                                                  
2282671	7261151	9113697	 SPORTZONE TORRES SHOPPING               	                                                  
2282689	7261192	9113697	 SPORTZONE RIA SHOPP OLHAO               	                                                  
2282697	2469601	9113697	 SPORTZONE DOLCE VITA TEJO               	                                                  
2282705	2469602	9113697	 SPORTZONE TAVIRA                        	                                                  
2282713	7261191	9113697	 SPORTZONE SPC OLIVAIS                   	                                                  
2282721	7261152	9113697	 SPORTZONE AMOREIRAS                     	                                                  
2282739	7261149	9113697	 SPORTZONE VISEU                         	                                                  
2282747	7261150	9113697	 SPORTZONE FORUM VISEU                   	                                                  
2282754	7261154	9113697	 SPORTZONE COVILHA SERRA SPG             	                                                  
2282762	0	9113697	 SPORTZONE PORTO ALTO                    	                                                  
2282770	7261153	9113697	 SPORTZONE LOURES SPG                    	                                                  
2282788	7261155	9113697	 SPORTZONE COIMBRA                       	                                                  
2282796	7261156	9113697	 SPORTZONE PORTO ALTO                    	                                                  
2282804	7261158	9113697	 SPORTZONE RIO SUL                       	                                                  
2282812	7261160	9113697	 SPORTZONE PACOS FERREIRA                	                                                  
2282820	7261159	9113697	 SPORTZONE AVEIRO (CARREFOUR)            	                                                  
2282838	7261161	9113697	 SPORTZONE GUIMARAES                     	                                                  
2282846	7261162	9113697	 SPORTZONE SANTAREM                      	                                                  
2282853	7261163	9113697	 SPORTZONE FIGUEIRA DA FOZ               	                                                  
2282861	7261164	9113697	 SPORTZONE OVAR                          	                                                  
2282879	7261165	9113697	 SPORTZONE AMADORA                       	                                                  
2282887	0	9113697	 SPORTZONE BRAGA RET CENTER              	                                                  
2282895	7261166	9113697	 SPORTZONE BRAGA RET CENTER              	                                                  
