0MEFAC03084812011033100120110228001201103319780022777                                                 
1201103310311100550022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
3A 1   CONNECTIONS FEES                                                                               
4A 1 1 201103311                        CPU em real time      000100000000000000000000010000000100000D
6A 1   0000000100000D                                                                                 
7A     0000000000100000D                                                                              
2E     Utilizaá∆o de Cart‰es                                                                          
3E 1   CARDS MANAGEMENT FEES                                                                          
4E 1 1 20110331                         De 1 a 50000          000000000986000000000500000000000049300D
4E 1 2 20110331                         De 50001 a 150000     000000000770000000001000000000000077000D
4E 1 3 20110331                         De 150001 a 375000    000000000647000000002250000000000145575D
4E 1 4 20110331                         De 375001 a 750000    000000000555000000003750000000000208125D
4E 1 5 20110331                         De 750001 a 1500000   000000000431000000000697300000000030054D
6E 1   0000000510054D                                                                                 
3E 9   CARDS MANAGEMENT FEES                                                                          
4E 9 1 20110331                         Card profile change   000000011200000000000163690000000183333D
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110301001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
5E 9 1 MCLN520110302001000001000000000000                                                             
