0MEFAC03084812011053100120110430001201105319780022777                                                 
1201105310511103650022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
3A 1   Bancos                                                                                         
4A 1 1 201105311                        CPU em real time      000100000000000000000000010000000100000D
6A 1   0000000100000D                                                                                 
7A     0000000000100000D                                                                              
2E     Utilizaá∆o de Cart‰es                                                                          
3E 1   Direitos de Utilizaá∆o                                                                         
4E 1 1 20110531                         De 1 a 50000          000000000986000000000500000000000049300D
4E 1 2 20110531                         De 50001 a 150000     000000000770000000001000000000000077000D
4E 1 3 20110531                         De 150001 a 375000    000000000647000000002250000000000145575D
4E 1 4 20110531                         De 375001 a 750000    000000000555000000003750000000000208125D
4E 1 5 20110531                         De 750001 a 1500000   000000000431000000000679370000000029281D
6E 1   0000000509281D                                                                                 
3E 9   Movimentos de LN                                                                               
4E 9 1 20110531                         Alteraá∆o de situaá∆o 000000011200000000000072180000000080842D
5E 9 1 MEASC20110506001000000000000000146                                                             
5E 9 1 MEASC20110513001000000000000000150                                                             
5E 9 1 MEASC20110520001000000000000000161                                                             
5E 9 1 MEASC20110505001000000000000000180                                                             
5E 9 1 MEASC20110527001000000000000000184                                                             
5E 9 1 MEASC20110519001000000000000000190                                                             
5E 9 1 MEASC20110429001000000000000000193                                                             
5E 9 1 MEASC20110524001000000000000000231                                                             
5E 9 1 MEASC20110503001000000000000000238                                                             
5E 9 1 MEASC20110517001000000000000000243                                                             
5E 9 1 MEASC20110504001000000000000000257                                                             
5E 9 1 MEASC20110510001000000000000000259                                                             
5E 9 1 MEASC20110512001000000000000000261                                                             
5E 9 1 MEASC20110525001000000000000000284                                                             
5E 9 1 MEASC20110511001000000000000000310                                                             
5E 9 1 MEASC20110526001000000000000000395                                                             
5E 9 1 MEASC20110518001000000000000000414                                                             
5E 9 1 MEASC20110516001000000000000000498                                                             
5E 9 1 MEASC20110530001000000000000000513                                                             
5E 9 1 MEASC20110502001000000000000000515                                                             
5E 9 1 MEASC20110523001000000000000000561                                                             
5E 9 1 MEASC20110509001000000000000000582                                                             
4E 9 2 20110531                         Lista Negra da Rede   000000011200000000000000260000000000291D
5E 9 2 MCLN520110501001000001                                                                         
5E 9 2 MCLN520110501001000001                                                                         
5E 9 2 MCLN520110507001000001                                                                         
5E 9 2 MCLN520110509001000001                                                                         
5E 9 2 MCLN520110510001000001                                                                         
5E 9 2 MCLN520110511001000001                                                                         
5E 9 2 MCLN520110512001000001                                                                         
5E 9 2 MCLN520110514001000001                                                                         
5E 9 2 MCLN520110514001000001                                                                         
5E 9 2 MCLN520110514001000001                                                                         
5E 9 2 MCLN520110516001000001                                                                         
5E 9 2 MCLN520110517001000001                                                                         
5E 9 2 MCLN520110517001000001                                                                         
5E 9 2 MCLN520110518001000001                                                                         
5E 9 2 MCLN520110518001000001                                                                         
5E 9 2 MCLN520110520001000001                                                                         
5E 9 2 MCLN520110520001000001                                                                         
5E 9 2 MCLN520110521001000001                                                                         
5E 9 2 MCLN520110522001000001                                                                         
5E 9 2 MCLN520110522001000001                                                                         
5E 9 2 MCLN520110525001000001                                                                         
5E 9 2 MCLN520110526001000001                                                                         
5E 9 2 MCLN520110526001000001                                                                         
5E 9 2 MCLN520110528001000001                                                                         
5E 9 2 MCLN520110531001000001                                                                         
5E 9 2 MCLN520110531001000001                                                                         
4E 9 3 20110531                         Lista Negra Urgente   000000385000000000000001930000000074305D
5E 9 3 MCLN520110502001000001                                                                         
5E 9 3 MCLN520110502001000001                                                                         
5E 9 3 MCLN520110502001000001                                                                         
5E 9 3 MCLN520110502001000001                                                                         
5E 9 3 MCLN520110502001000001                                                                         
5E 9 3 MCLN520110503001000001                                                                         
5E 9 3 MCLN520110504001000001                                                                         
5E 9 3 MCLN520110504001000001                                                                         
5E 9 3 MCLN520110504001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110506001000001                                                                         
5E 9 3 MCLN520110507001000001                                                                         
5E 9 3 MCLN520110507001000001                                                                         
5E 9 3 MCLN520110507001000001                                                                         
5E 9 3 MCLN520110507001000001                                                                         
5E 9 3 MCLN520110508001000001                                                                         
5E 9 3 MCLN520110508001000001                                                                         
5E 9 3 MCLN520110509001000001                                                                         
5E 9 3 MCLN520110510001000001                                                                         
5E 9 3 MCLN520110512001000001                                                                         
5E 9 3 MCLN520110512001000001                                                                         
5E 9 3 MCLN520110512001000001                                                                         
5E 9 3 MCLN520110512001000001                                                                         
5E 9 3 MCLN520110512001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110513001000001                                                                         
5E 9 3 MCLN520110514001000001                                                                         
5E 9 3 MCLN520110514001000001                                                                         
5E 9 3 MCLN520110515001000001                                                                         
5E 9 3 MCLN520110517001000001                                                                         
5E 9 3 MCLN520110517001000001                                                                         
5E 9 3 MCLN520110518001000001                                                                         
5E 9 3 MCLN520110518001000001                                                                         
5E 9 3 MCLN520110519001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
5E 9 3 MCLN520110520001000001                                                                         
